Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AAPL,Apple Inc.,213.32,USD,0.3858823529411733,57359065,1.2001450675982126,3204508664023.594,USD,33.91199287803637,6.2904,USD,-2.1254084331725474,0.470588235294118,Electronic technology,Buy
MSFT,Microsoft Corporation,425.4,USD,7.625360522187924,58937849,2.765191313979697,3162415992684.355,USD,34.26334611295467,12.4156,USD,12.290285528231754,0.79947376410464,Technology services,Strong buy
NVDA,NVIDIA Corporation,111.61,USD,2.469702533969884,236117237,0.9253598147688515,2723283954218.5864,USD,37.96904235414186,2.9395,USD,146.27178284182304,0.0367242012486228,Electronic technology,Strong buy
AMZN,"Amazon.com, Inc.",190.2,USD,3.134150309077107,74257910,1.5631580220584698,2018471661795.1353,USD,34.444042013763124,5.522,USD,91.09911406423033,0,Retail trade,Strong buy
GOOG,Alphabet Inc.,162.79,USD,1.180931070918022,21903868,1.04071433078019,1961339053820.419,USD,18.153736353194383,8.9673,USD,37.528948054537366,0.497234135123376,Technology services,Strong buy
META,"Meta Platforms, Inc.",572.21,USD,4.227686703096546,31157863,1.8079937792392402,1444848346033.8955,USD,23.919322813251124,23.9225,USD,60.59357021542262,0.368852459016393,Technology services,Strong buy
BRK.A,Berkshire Hathaway Inc.,795400,USD,-0.642066605041597,413,0.9233176838810642,1143372693537.6902,USD,12.846927385566241,61913.6371,USD,-6.7160436705810085,0,Finance,Buy
AVGO,Broadcom Inc.,197.33,USD,2.5250688418974456,24939376,1.1030343788725896,927835548868.009,USD,95.17677133072878,2.0733,USD,-23.14849136333308,1.16121993037876,Electronic technology,Strong buy
TSLA,"Tesla, Inc.",280.52,USD,-0.5812305075134828,99653047,0.8192399629190686,902297385754.189,USD,154.2674879014518,1.8184,USD,-53.531636512317284,0,Consumer durables,Buy
WMT,Walmart Inc.,97.41,USD,0.16452442159382683,13171784,0.7681706569603256,779366422837.1254,USD,40.46105919003115,2.4075,USD,25.83629521220992,0.881748071979435,Retail trade,Strong buy
LLY,Eli Lilly and Company,794.1,USD,-11.663607542132489,12601092,3.157519665508325,752798182915.6536,USD,69.117685458391,11.4891,USD,102.10565201329887,0.600700817620557,Health technology,Strong buy
JPM,JP Morgan Chase & Co.,246.89,USD,0.9279699125173664,8689579,0.8896771735464518,687093952146.9115,USD,12.118430675743994,20.3731,USD,23.021508882528412,2.06442645736244,Finance,Buy
V,Visa Inc.,342.45,USD,-0.8827785817655605,5849940,0.8973953362453625,668581889968.387,USD,35.6180768630714,9.6145,USD,9.18247992822994,0.642547033285094,Finance,Buy
MA,Mastercard Incorporated,546.63,USD,-0.26092033718934976,2839922,1.0762043322506885,497054028190.10065,USD,39.360729278426234,13.8877,USD,17.38200689701805,0.518191438893552,Finance,Buy
NFLX,"Netflix, Inc.",1133.47,USD,0.1546318877460856,3499443,0.5573841106768954,482372276526.58014,USD,53.5605602389143,21.1624,USD,46.8255014465806,0,Technology services,Buy
XOM,Exxon Mobil Corporation,105.78,USD,0.14200511218404402,18609992,1.322851003452934,457529529987.68414,USD,13.47430099993631,7.8505,USD,-11.599441479179326,3.67319890182713,Energy minerals,Buy
COST,Costco Wholesale Corporation,999.04,USD,0.45651080945198225,1829874,0.8307996738682436,443257413594.2287,USD,58.322436017186625,17.1296,USD,12.070973398060799,0.466566113624937,Retail trade,Buy
ORCL,Oracle Corporation,145.49,USD,3.3897100625355394,11525746,1.3680919758853936,407987991717.6761,USD,34.183074103660545,4.2562,USD,12.46399788611441,1.20807276861853,Technology services,Buy
PG,Procter & Gamble Company (The),159.98,USD,-1.5931598695946383,6792815,0.6776336508169529,375079844808.6557,USD,25.408169747792385,6.2964,USD,2.9479570314416033,2.50741219167128,Consumer non-durables,Buy
JNJ,Johnson & Johnson,154.46,USD,-1.1835455185208843,7325849,0.9261062001496566,372225063170.5707,USD,17.17004413121533,8.9959,USD,29.575375219658355,3.17318149830465,Health technology,Buy
UNH,UnitedHealth Group Incorporated,400.68,USD,-2.6152051331907424,9316781,0.8670518525947051,364708480726.5942,USD,16.74950568307701,23.9219,USD,46.134344952290185,2.04160995527902,Health services,Strong buy
HD,"Home Depot, Inc. (The)",358.3,USD,-0.607506449554772,3210084,1.0516891011854714,356124450661.01917,USD,24.02182949395264,14.9156,USD,-1.2218462129389864,2.51047185774917,Retail trade,Buy
ABBV,AbbVie Inc.,193.34,USD,-0.9021014864172174,5823568,0.6942267059857332,342014269708.784,USD,82.2443423515399,2.3508,USD,-30.006550348359433,3.27011788826243,Health technology,Buy
KO,Coca-Cola Company (The),71.29,USD,-1.7367332873879957,18034163,1.0573423640288273,306801296816.7923,USD,28.567421358445205,2.4955,USD,0.26517738760093684,2.70847691247416,Consumer non-durables,Buy
BAC,Bank of America Corporation,40.17,USD,0.7271815446338995,33569144,0.8011170677498974,303688601400.79364,USD,11.991044776119404,3.35,USD,15.684784860832938,2.55767301905717,Finance,Strong buy
BABA,Alibaba Group Holding Limited,120.53,USD,0.9210416143347518,8690227,0.5654870556919468,289332190822.8103,USD,17.414358574256283,6.9213,USD,26.038897184688786,0.82056434731642,Retail trade,Strong buy
TMUS,"T-Mobile US, Inc.",247,USD,0.020247013565503694,3603405,0.6849381857165664,280454928418.7164,USD,24.075247331741316,10.2595,USD,39.59453024015238,1.23911723020854,Communications,Buy
PLTR,Palantir Technologies Inc.,116.2,USD,-1.8912529550827382,90673446,0.9055775764958284,274126131336.70206,USD,614.4896879957695,0.1891,USD,109.4130675526024,0,Technology services,Neutral
PM,Philip Morris International Inc,170.05,USD,-0.7644724556489275,4885894,0.6430774357843109,264685732071.03934,USD,34.944413620204266,4.8663,USD,-4.800751217794473,3.12208216619981,Consumer non-durables,Buy
CRM,"Salesforce, Inc.",269.33,USD,0.23073201592795378,5208927,0.8509425419338077,258415008869.58588,USD,42.34082691400723,6.361,USD,51.26869753394687,0.601391835063824,Technology services,Buy
