Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AIZ,"Assurant, Inc.",196.16,USD,-0.4567136912615476,71808,0.17835773184046164,9978254789.472443,USD,15.294888188878145,12.8252,USD,-10.49230210906857,1.53675058133657,Finance,Buy
EXEL,"Exelixis, Inc.",36.09,USD,-1.9559902200488966,939486,0.41418647054171104,9945825265.819073,USD,20.361071932299016,1.7725,USD,173.87206427688506,0,Health technology,Buy
ATI,ATI Inc.,70.46,USD,1.0034403669724608,307110,0.119511582069737,9939622073.84518,USD,25.491118266343474,2.7641,USD,10.506536600967493,0,Non-energy minerals,Strong buy
BIRK,Birkenstock Holding plc,52.84,USD,1.9093539054966289,106625,0.07877972369134043,9924895078.825846,USD,41.840209042679554,1.2629,USD,134.08711770157552,0,Consumer non-durables,Strong buy
PCOR,"Procore Technologies, Inc.",66.16,USD,2.6213742826120643,91262,0.06564935180778499,9869036789.302309,USD,,-0.8585,USD,10.73099719247166,0,Technology services,Buy
SNX,TD SYNNEX Corporation,117.32,USD,1.734304543877905,50727,0.09027888267536016,9845660644.027056,USD,14.660968233735721,8.0022,USD,16.115270764408844,1.47123215693143,Distribution services,Strong buy
BWXT,"BWX Technologies, Inc.",107.46,USD,-0.278396436525623,162197,0.18375169905491875,9817623746.834631,USD,34.16526245509172,3.1453,USD,14.137968574227969,0.897068343660409,Electronic technology,Buy
GMED,"Globus Medical, Inc.",72.25,USD,1.034820304852461,135641,0.1355151741607917,9779341226.835405,USD,97.05803331542182,0.7444,USD,-36.08105787394815,0,Health technology,Buy
CR,Crane Company,170.02,USD,1.534786503433874,20491,0.04603169539781889,9776351528.274948,USD,32.94003681100455,5.1615,USD,38.47453989375973,0.507598966780801,Electronic technology,Buy
FHN,First Horizon Corporation,19.25,USD,3.4946236559139705,1155506,0.3094060724890628,9759750199.744623,USD,13.402492515491193,1.4363,USD,-0.1529370872436552,3.22927879440258,Finance,Buy
ASND,Ascendis Pharma A/S,158.52,USD,-1.534256786135784,199062,0.33912390181076646,9719531707,USD,,-6.2924,USD,34.70853134662876,0,Health technology,Strong buy
CUBE,CubeSmart,41.905,USD,-0.6284088214370419,159676,0.07066557325828764,9612820185,USD,24.743150684931507,1.6936,USD,-5.989453233416603,4.90359438228993,Finance,Neutral
AOS,A.O. Smith Corporation,67.545,USD,0.9188704616763705,131949,0.08708671447287224,9598755455.777452,USD,18.89106418682702,3.5755,USD,-7.021193602912495,1.98606788202164,Producer manufacturing,Buy
WBA,"Walgreens Boots Alliance, Inc.",11.085,USD,0.31674208144796506,1056468,0.12650148580585194,9585619277.413574,USD,,-6.6897,USD,4.421933935306891,9.09918107370337,Retail trade,Neutral
MRNA,"Moderna, Inc.",24.64,USD,2.4106400665004237,2440113,0.25531660434806014,9529318265.376558,USD,,-8.7228,USD,44.356412906189,0,Health technology,Neutral
