Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
LIVN,LivaNova PLC,36.79,USD,-0.5675675675675699,679795,1.3116059457591578,1999601422.418108,USD,32.04145619230099,1.1482,USD,256.14143920595535,0,Health technology,Buy
KAR,"OPENLANE, Inc.",18.62,USD,0.5942733657482411,436201,0.7096899628397946,1999483904.5175579,USD,40.82438061828547,0.4561,USD,,0,Technology services,Buy
BEAM,Beam Therapeutics Inc.,19.83,USD,-0.5017561465128019,1605222,0.8868045327178159,1994047140.7676868,USD,,-4.5778,USD,-139.88890635644287,0,Health technology,Strong buy
TRN,"Trinity Industries, Inc.",24.38,USD,-2.868525896414352,654899,1.3134067162936884,1990190514.4669318,USD,14.81076483810218,1.6461,USD,29.62437987243089,4.62151394422311,Producer manufacturing,Neutral
AIR,AAR Corp.,55.1,USD,3.067714178825291,226525,0.8798949680612013,1989319440.8099513,USD,,-0.3665,USD,-121.5689736346516,0,Electronic technology,Strong buy
PLTK,Playtika Holding Corp.,5.28,USD,0.18975332068312478,1684511,1.094717070937073,1982301775.42315,USD,12.093449381584975,0.4366,USD,-31.919538437548727,7.59013282732448,Technology services,Buy
OI,"O-I Glass, Inc.",12.81,USD,1.1848341232227517,1585005,1.1358660654024602,1981307992.7843604,USD,,-1.2655,USD,20.036648553014025,0,Process industries,Buy
HNI,HNI Corporation,42.19,USD,-0.2600472813238758,200747,0.944448208179726,1978537855.4316783,USD,14.657957822325677,2.8783,USD,182.9074110477688,3.12056737588653,Producer manufacturing,Strong buy
TGI,"Triumph Group, Inc.",25.5,USD,0.39370078740158043,1125239,0.7280143030572176,1974139496.515748,USD,282.07964601769913,0.0904,USD,,0,Electronic technology,Neutral
CXM,"Sprinklr, Inc.",7.71,USD,0.2600780234070166,929387,0.6032613697924489,1972884092.8673599,USD,16.989863375936537,0.4538,USD,148.24945295404817,0,Technology services,Neutral
LCII,LCI Industries,78.1,USD,1.3233004670472186,441932,0.815475606146606,1970969339.8897252,USD,13.936722639590284,5.6039,USD,122.1742060817508,5.70835495588998,Producer manufacturing,Neutral
SPNT,SiriusPoint Ltd.,16.94,USD,0.8333333333333366,641146,0.9705170769838355,1965387571.4916666,USD,17.74937133277452,0.9544,USD,-52.96668637886851,0,Finance,Buy
STRA,"Strategic Education, Inc.",81.29,USD,-0.35547928413825947,213922,0.9610260672289671,1964229703.6708753,USD,17.40834332705157,4.6696,USD,10.282934202446732,2.94189752390292,Consumer services,Strong buy
